Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences
group_188,klcA_3,Antirestriction protein KlcA,2,2
group_1884,lemA,Protein LemA,2,2
group_189,klcA_5,Antirestriction protein KlcA,2,2
group_1891,traA,Pilin,2,2
group_18919,,hypothetical protein,2,2
group_1898,capD,UDP-glucose 4-epimerase,2,2
group_1899,,hypothetical protein,2,2
group_1900,,hypothetical protein,2,2
group_1903,,hypothetical protein,2,2
yeiL_2,,Regulatory protein YeiL,2,2
group_193,klcA_2,Antirestriction protein KlcA,2,2
group_196,klcA_6,Antirestriction protein KlcA,2,2
group_1990,,hypothetical protein,2,2
group_2015,,hypothetical protein,2,2
group_2058,,hypothetical protein,2,2
group_2076,,hypothetical protein,2,2
group_2079,,hypothetical protein,2,2
group_2085,,hypothetical protein,2,2
group_2086,,hypothetical protein,2,2
group_2095,ptsG_3,PTS system glucose-specific EIICBA component,2,2
group_2097,,hypothetical protein,2,2
group_21,,hypothetical protein,2,2
group_2103,,hypothetical protein,2,2
group_2131,,hypothetical protein,2,2
caf1A_1,,F1 capsule-anchoring protein,2,2
group_2168,,hypothetical protein,2,2
group_2169,,hypothetical protein,2,2
group_2173,,hypothetical protein,2,2
group_2178,,hypothetical protein,2,2
group_2201,gpFI,Putative prophage major tail sheath protein,2,2
group_2218,,hypothetical protein,2,2
group_2222,,hypothetical protein,2,2
group_2244,,hypothetical protein,2,2
group_2251,,hypothetical protein,2,2
narX_1,,Nitrate/nitrite sensor protein NarX,2,2
group_2300,,hypothetical protein,2,2
group_2315,yjcS,Putative alkyl/aryl-sulfatase YjcS,2,2
group_2321,,hypothetical protein,2,2
cdaR_1,,Carbohydrate diacid regulator,2,2
cdaR_2,,Carbohydrate diacid regulator,2,2
group_2401,srlR_5,Glucitol operon repressor,2,2
group_2403,,hypothetical protein,2,2
group_2405,,hypothetical protein,2,3
lgrD,,Linear gramicidin synthase subunit D,2,2
group_2421,hemR_3,Hemin receptor,2,2
group_2423,hemR_2,Hemin receptor,2,2
group_2438,,hypothetical protein,2,2
group_2446,,hypothetical protein,2,2
group_2453,,hypothetical protein,2,2
group_2456,,hypothetical protein,2,2
group_2472,,hypothetical protein,2,2
group_2475,intS_4,Prophage integrase IntS,2,2
group_249,noc_2,hypothetical protein,2,2
group_2533,,hypothetical protein,2,3
group_2535,,hypothetical protein,2,2
group_2540,,hypothetical protein,2,2
group_2544,,ISAs1 family transposase ISEc1,2,2
group_2546,,ISAs1 family transposase ISEc1,2,2
group_2553,,hypothetical protein,2,2
group_2577,,hypothetical protein,2,2
group_2585,rrrD_2,Lysozyme RrrD,2,2
group_2600,,hypothetical protein,2,2
group_2605,lacI_2,Lactose operon repressor,2,2
group_2627,,hypothetical protein,2,2
group_2688,manC1_2,Mannose-1-phosphate guanylyltransferase 1,2,2
group_2717,,hypothetical protein,2,2
group_2728,,hypothetical protein,2,2
group_2732,,hypothetical protein,2,2
group_2735,gltB,Glutamate synthase [NADPH] large chain,2,2
dlsT_2,,putative serine transporter,2,2
group_2745,dsdA_1,D-serine dehydratase,2,2
group_2758,,hypothetical protein,2,2
dhaM_2,,"PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM",2,2
group_2794,flgJ,Peptidoglycan hydrolase FlgJ,2,2
phoQ_2,,Sensor protein PhoQ,2,2
group_2803,mntB_4,Manganese transport system ATP-binding protein MntB,2,2
group_2806,mntB_4,Vitamin B12 import ATP-binding protein BtuD,2,2
dtpB_1,,Dipeptide and tripeptide permease B,2,2
group_282,flu_2,Antigen 43,2,2
cysZ_2,,Sulfate transporter CysZ,2,2
uhpT_1,,Hexose-6-phosphate:phosphate antiporter,2,2
group_288,flu_2,Antigen 43,2,2
group_2918,siaM,Sialic acid TRAP transporter large permease protein SiaM,2,2
group_292,flu,Antigen 43,2,2
group_298,dltA_1,hypothetical protein,2,2
rop_1,,Regulatory protein rop,2,2
group_300,dltA,D-alanine--D-alanyl carrier protein ligase,2,2
group_3027,,hypothetical protein,2,2
group_3036,lptG_2,Lipopolysaccharide export system permease protein LptG,2,2
group_304,,hypothetical protein,2,2
group_3045,,hypothetical protein,2,2
group_3054,topB_2,DNA topoisomerase 3,2,2
group_3070,apxIB,Toxin RTX-I translocation ATP-binding protein,2,2
group_310,,hypothetical protein,2,2
group_3109,,hypothetical protein,2,2
ylpA_1,,Lipoprotein YlpA,2,2
group_3136,,hypothetical protein,2,2
group_3139,hlyB,Alpha-hemolysin translocation ATP-binding protein HlyB,2,2
group_315,era_4,GTPase Era,2,2
group_3167,,IS4 family transposase ISVsa5,2,2
group_3168,,IS4 family transposase ISVsa5,2,2
group_3172,,IS1 family transposase IS1A,2,2
group_3173,,IS1 family transposase IS1A,2,2
group_3183,,IS110 family transposase IS5075,2,2
group_3196,,hypothetical protein,2,2
group_3201,rrrD_2,Lysozyme RrrD,2,2
group_3204,,hypothetical protein,2,2
group_3264,,hypothetical protein,2,2
group_3272,,hypothetical protein,2,2
group_3276,,hypothetical protein,2,2
group_3282,,hypothetical protein,2,2
prfC_2,,Peptide chain release factor RF3,2,2
group_3286,,hypothetical protein,2,2
dgt_1,,Deoxyguanosinetriphosphate triphosphohydrolase,2,2
group_3295,yadN_1,putative fimbrial-like protein YadN,2,2
group_33,,hypothetical protein,2,2
group_330,,IS66 family transposase ISEc78,2,2
group_3301,xerC_1,Tyrosine recombinase XerC,2,2
group_3319,,hypothetical protein,2,2
group_332,,IS66 family transposase ISEc8,2,2
group_3340,yeeO,putative FMN/FAD exporter YeeO,2,2
group_3355,kdgK_1,Ribokinase,2,2
setB_1,,Sugar efflux transporter B,2,2
ascG_1,,HTH-type transcriptional regulator AscG,2,2
cycA_1,,D-serine/D-alanine/glycine transporter,2,2
group_3434,ytfJ_2,putative protein YtfJ,2,2
group_345,,IS66 family transposase ISEc78,2,2
ydiF_3,,Acetate CoA-transferase YdiF,2,2
group_347,,IS66 family transposase ISEc22,2,2
group_3551,lpdG,Dihydrolipoyl dehydrogenase,2,2
group_3572,,hypothetical protein,2,2
yphF_2,,ABC transporter periplasmic-binding protein YphF,2,2
group_3578,,hypothetical protein,2,2
group_3595,,hypothetical protein,2,2
group_363,,hypothetical protein,2,2
group_3717,cirA_2,hypothetical protein,2,2
group_3724,,hypothetical protein,2,2
group_375,,hypothetical protein,2,2
group_3767,,hypothetical protein,2,2
group_3810,,hypothetical protein,2,2
group_3821,,hypothetical protein,2,2
group_3933,,hypothetical protein,2,2
group_3959,,hypothetical protein,2,2
group_396,traI_1,Multifunctional conjugation protein TraI,2,2
group_3961,,hypothetical protein,2,2
group_3962,,hypothetical protein,2,2
group_398,traI_1,Multifunctional conjugation protein TraI,2,2
group_3993,,hypothetical protein,2,2
group_3997,,IS3 family transposase ISRme12,2,2
group_4008,,hypothetical protein,2,2
cueO_1,,Blue copper oxidase CueO,2,2
group_4026,cueO_2,Blue copper oxidase CueO,2,2
group_4047,fimD_3,Outer membrane usher protein FimD,2,2
group_4048,fimD_4,Outer membrane usher protein FimD,2,2
djlA_1,,Co-chaperone protein DjlA,2,2
djlA_2,,Co-chaperone protein DjlA,2,2
yjjI_2,,putative protein YjjI,2,2
yjjI_1,,putative protein YjjI,2,2
group_4059,,hypothetical protein,2,2
group_4062,,hypothetical protein,2,2
group_4094,,hypothetical protein,2,2
group_4104,pheP,Phenylalanine-specific permease,2,2
group_4110,ompT_2,Protease 7,2,2
group_4114,ushA,Protein UshA,2,2
mdlB_1,,Multidrug resistance-like ATP-binding protein MdlB,2,2
group_4120,,hypothetical protein,2,2
yajR_1,,Inner membrane transport protein YajR,2,2
group_4199,lpxT_2,Lipid A 1-diphosphate synthase,2,2
group_4201,yejE,Inner membrane ABC transporter permease protein YejE,2,2
group_4204,bcr_1,Bicyclomycin resistance protein,2,2
group_4206,,hypothetical protein,2,2
atoE_1,,Putative short-chain fatty acid transporter,2,2
group_422,shlB,Hemolysin transporter protein ShlB,2,2
group_423,,hypothetical protein,2,2
dacB_2,,D-alanyl-D-alanine carboxypeptidase DacB,2,2
group_425,,hypothetical protein,2,2
group_4262,lldR_1,Putative L-lactate dehydrogenase operon regulatory protein,2,2
mug_1,,G/U mismatch-specific DNA glycosylase,2,2
group_4279,yfiZ,Vitamin B12 import system permease protein BtuC,2,2
dctM_4,,C4-dicarboxylate TRAP transporter large permease protein DctM,2,2
group_4304,fucP_2,L-fucose-proton symporter,2,2
ltnD_2,,L-threonate dehydrogenase,2,2
group_4326,,hypothetical protein,2,2
group_4332,blc_2,Outer membrane lipoprotein Blc,2,2
treC_1,,Trehalose-6-phosphate hydrolase,2,2
sufS_2,,Cysteine desulfurase,2,2
ydhW_1,,putative protein YdhW,2,2
group_4387,yahB_2,putative HTH-type transcriptional regulator YahB,2,2
ydgJ_2,,putative oxidoreductase YdgJ,2,2
group_4405,,hypothetical protein,2,2
group_4437,,hypothetical protein,2,2
group_4447,,hypothetical protein,2,2
group_4450,oppD,Oligopeptide transport ATP-binding protein OppD,2,2
group_4466,yhhW_1,"Quercetin 2,3-dioxygenase",2,2
malQ_1,,4-alpha-glucanotransferase,2,2
group_4478,yhfS,putative protein YhfS,2,2
group_4531,yicL_2,putative inner membrane transporter YicL,2,2
group_4555,,hypothetical protein,2,2
malE_1,,Maltose/maltodextrin-binding periplasmic protein,2,2
rutG_2,,Putative pyrimidine permease RutG,2,2
group_46,,hypothetical protein,2,2
group_460,,hypothetical protein,2,2
group_4659,fdrA_3,Protein FdrA,2,2
group_4662,hxlB,3-hexulose-6-phosphate isomerase,2,2
group_4698,yebZ_2,Inner membrane protein YebZ,2,2
fadD_1,,Long-chain-fatty-acid--CoA ligase,2,2
yeaD_1,,Putative glucose-6-phosphate 1-epimerase,2,2
group_471,insK,Putative transposase InsK for insertion sequence element IS150,2,2
fliF_1,,Flagellar M-ring protein,2,2
group_4747,,hypothetical protein,2,2
group_4750,rbsK_2,Ribokinase,2,2
group_477,insK,Putative transposase InsK for insertion sequence element IS150,2,2
ompG_2,,Outer membrane porin G,2,2
group_480,,IS3 family transposase IS629,2,2
cmoA_3,,Carboxy-S-adenosyl-L-methionine synthase,2,2
group_4825,,IS3 family transposase ISKpn11,2,2
group_4826,cat,Chloramphenicol acetyltransferase,2,2
group_4864,,hypothetical protein,2,2
group_4871,,hypothetical protein,2,2
group_4904,,hypothetical protein,2,2
group_4906,,hypothetical protein,2,2
group_493,,IS66 family transposase ISCro1,2,2
ybbH_3,,putative HTH-type transcriptional regulator YbbH,2,2
group_496,,hypothetical protein,2,2
pic_1,,Serine protease pic autotransporter,2,2
group_5028,dltA_2,D-alanine--D-alanyl carrier protein ligase,2,2
group_5038,,hypothetical protein,2,2
group_5089,,hypothetical protein,2,2
group_5094,,hypothetical protein,2,2
group_5111,,hypothetical protein,2,2
group_5148,,hypothetical protein,2,2
group_5163,,hypothetical protein,2,2
group_517,klcA_3,Antirestriction protein KlcA,2,2
group_5180,,hypothetical protein,2,2
group_519,klcA_5,Antirestriction protein KlcA,2,2
group_5200,,hypothetical protein,2,2
group_5207,,hypothetical protein,2,2
ydhP_1,,Inner membrane transport protein YdhP,2,2
group_5323,,hypothetical protein,2,2
group_5383,,hypothetical protein,2,2
group_5392,,hypothetical protein,2,2
group_5396,,hypothetical protein,2,2
yciC_3,,Putative metal chaperone YciC,2,2
ompT_5,,Protease 7,2,2
group_5417,,hypothetical protein,2,2
group_5426,mltC_2,Membrane-bound lytic murein transglycosylase C,2,2
group_5453,mlc_1,hypothetical protein,2,2
group_5458,proP,Proline/betaine transporter,2,2
rihC_1,,Non-specific ribonucleoside hydrolase RihC,2,2
group_547,,ISL3 family transposase ISEc38,2,2
group_5478,siaP,Sialic acid-binding periplasmic protein SiaP,2,2
group_5487,topB_1,DNA topoisomerase 3,2,2
group_549,,ISL3 family transposase ISEc38,2,2
cadC_2,,Transcriptional activator CadC,2,2
group_5494,cadC,Transcriptional activator CadC,2,2
norG,,Vitamin B6 salvage pathway transcriptional repressor PtsJ,2,2
yjhP_1,,putative protein YjhP,2,2
group_562,,hypothetical protein,2,2
group_57,,hypothetical protein,2,2
group_577,,hypothetical protein,2,2
group_5809,,hypothetical protein,2,2
group_5812,,putative periplasmic iron-binding protein,2,2
group_583,,hypothetical protein,2,2
group_587,,hypothetical protein,2,2
group_593,,hypothetical protein,2,2
group_595,,hypothetical protein,2,2
group_600,,hypothetical protein,2,2
group_604,,hypothetical protein,2,2
group_6114,,hypothetical protein,2,2
group_6115,,hypothetical protein,2,2
group_6220,,hypothetical protein,2,2
group_6231,,hypothetical protein,2,2
group_6233,,hypothetical protein,2,2
group_6248,,hypothetical protein,2,2
relE_2,,mRNA interferase toxin RelE,2,2
yadC_2,,putative fimbrial-like protein YadC,2,2
group_6387,,hypothetical protein,2,2
group_6399,,hypothetical protein,2,2
group_6409,pgtP,Phosphoglycerate transporter protein,2,2
group_646,,hypothetical protein,2,2
group_6536,,hypothetical protein,2,2
group_6577,,hypothetical protein,2,2
espC,,hypothetical protein,2,2
group_659,,hypothetical protein,2,2
group_6596,,hypothetical protein,2,2
group_6603,,hypothetical protein,2,2
group_6624,,hypothetical protein,2,2
group_6626,,hypothetical protein,2,2
group_663,,hypothetical protein,2,2
group_664,,hypothetical protein,2,2
group_6654,,hypothetical protein,2,2
group_6655,,hypothetical protein,2,2
group_6662,,hypothetical protein,2,2
group_6680,,hypothetical protein,2,2
group_670,,hypothetical protein,2,2
group_6709,,hypothetical protein,2,2
group_671,,hypothetical protein,2,2
group_6733,,IS3 family transposase IS2,2,2
group_6736,,hypothetical protein,2,2
group_6744,,hypothetical protein,2,2
group_6758,,hypothetical protein,2,2
group_6787,,hypothetical protein,2,2
group_6792,,hypothetical protein,2,2
group_6809,,hypothetical protein,2,2
group_6823,,hypothetical protein,2,2
grxA_2,,Glutaredoxin 1,2,2
group_6826,,hypothetical protein,2,2
group_6829,,hypothetical protein,2,2
group_6836,,hypothetical protein,2,2
group_6839,,hypothetical protein,2,2
group_6853,ampC_2,Beta-lactamase,2,2
group_6899,,hypothetical protein,2,2
group_6906,aceF,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,2,2
wzzB_2,,hypothetical protein,2,2
group_6916,,hypothetical protein,2,2
group_6950,,hypothetical protein,2,2
group_6960,,hypothetical protein,2,2
group_6964,,hypothetical protein,2,2
group_6965,,hypothetical protein,2,2
group_6967,,hypothetical protein,2,2
group_6985,,hypothetical protein,2,2
gstB_1,,Glutathione S-transferase GstB,2,2
cysE_3,,Serine acetyltransferase,2,2
group_6992,,hypothetical protein,2,2
group_6993,,hypothetical protein,2,2
group_6994,,hypothetical protein,2,2
group_6995,,hypothetical protein,2,2
group_6996,,hypothetical protein,2,2
group_6997,,hypothetical protein,2,2
group_6998,,hypothetical protein,2,2
group_6999,,hypothetical protein,2,2
group_7000,,hypothetical protein,2,2
group_7001,,hypothetical protein,2,2
group_7002,,hypothetical protein,2,2
group_7003,,hypothetical protein,2,2
group_7004,ylpA,Lipoprotein YlpA,2,2
group_7005,traI,Multifunctional conjugation protein TraI,2,2
group_7007,,hypothetical protein,2,2
group_7008,,Tn3 family transposase ISAcsp1,2,2
group_7010,,hypothetical protein,2,2
group_7011,,hypothetical protein,2,2
group_7014,ssb_5,Plasmid-derived single-stranded DNA-binding protein,2,2
group_7021,,hypothetical protein,2,2
group_7023,,hypothetical protein,2,2
group_7030,,hypothetical protein,2,2
group_7055,,hypothetical protein,2,2
group_7056,,hypothetical protein,2,2
group_7061,,hypothetical protein,2,2
group_7062,,hypothetical protein,2,2
group_7067,,hypothetical protein,2,2
group_7094,,hypothetical protein,2,2
group_7105,,hypothetical protein,2,2
group_7109,,hypothetical protein,2,2
group_7110,,hypothetical protein,2,2
group_7114,,hypothetical protein,2,2
group_7116,,hypothetical protein,2,2
group_7120,,hypothetical protein,2,2
group_7121,ssb_3,Single-stranded DNA-binding protein,2,2
group_7122,,hypothetical protein,2,2
group_7126,,hypothetical protein,2,2
group_7127,,hypothetical protein,2,2
group_7172,,hypothetical protein,2,2
group_7176,,hypothetical protein,2,2
group_7179,,hypothetical protein,2,2
group_7180,,hypothetical protein,2,2
group_7183,,hypothetical protein,2,2
group_7184,,hypothetical protein,2,2
group_7185,,hypothetical protein,2,2
pdxA2_2,,D-erythronate 4-phosphate dehydrogenase,2,2
group_7193,papE_1,Fimbrial protein PapE,2,2
prsF_1,,Minor fimbrial protein PrsF,2,2
papA_3,,Pap fimbrial major pilin protein,2,2
group_720,,hypothetical protein,2,2
group_7203,,hypothetical protein,2,2
group_7205,,hypothetical protein,2,2
group_7213,,hypothetical protein,2,2
group_7225,,hypothetical protein,2,2
group_7234,,hypothetical protein,2,2
group_7236,,hypothetical protein,2,2
group_7239,,hypothetical protein,2,2
group_7249,hin_1,DNA-invertase hin,2,2
group_7250,merT,Mercuric transport protein MerT,2,2
group_7251,,hypothetical protein,2,2
group_7252,,hypothetical protein,2,2
group_7253,,hypothetical protein,2,2
group_7254,,hypothetical protein,2,2
group_7255,,hypothetical protein,2,2
group_7258,,hypothetical protein,2,2
group_7259,,hypothetical protein,2,2
group_7260,,hypothetical protein,2,2
group_7263,fixB_3,Protein FixB,2,2
group_7264,,hypothetical protein,2,2
group_7265,,hypothetical protein,2,2
group_7266,pagN,Outer membrane protein PagN,2,2
group_7277,,hypothetical protein,2,2
group_7279,,hypothetical protein,2,2
group_7281,,hypothetical protein,2,2
group_7289,,hypothetical protein,2,2
group_7294,,hypothetical protein,2,2
group_7310,,hypothetical protein,2,2
group_7311,,hypothetical protein,2,2
group_7312,,hypothetical protein,2,2
group_7313,,hypothetical protein,2,2
group_7314,,hypothetical protein,2,2
group_7318,cnl,Lysis protein for colicin N,2,2
addA,,ATP-dependent helicase/nuclease subunit A,2,2
group_7320,,hypothetical protein,2,2
group_7321,,hypothetical protein,2,2
group_7322,,hypothetical protein,2,2
group_7323,,hypothetical protein,2,2
group_7324,ydeO_1,HTH-type transcriptional regulator YdeO,2,2
group_7325,,hypothetical protein,2,2
group_7326,,hypothetical protein,2,2
group_7327,,hypothetical protein,2,2
group_7328,,hypothetical protein,2,2
group_7329,,hypothetical protein,2,2
group_7330,,hypothetical protein,2,2
group_7331,,hypothetical protein,2,2
group_7332,,ISNCY family transposase ISRor2,2,2
group_7333,,hypothetical protein,2,2
group_7334,,hypothetical protein,2,2
group_7335,,hypothetical protein,2,2
group_7338,,hypothetical protein,2,2
group_7339,,hypothetical protein,2,2
group_7340,,hypothetical protein,2,2
group_7341,,hypothetical protein,2,2
group_7342,,hypothetical protein,2,2
group_7343,,hypothetical protein,2,2
group_7344,,hypothetical protein,2,2
group_7345,,hypothetical protein,2,2
group_7346,,hypothetical protein,2,2
group_7347,,hypothetical protein,2,2
group_7348,,hypothetical protein,2,2
group_7349,,hypothetical protein,2,2
group_7350,,hypothetical protein,2,2
group_7351,,hypothetical protein,2,2
group_7352,,hypothetical protein,2,2
group_7353,,hypothetical protein,2,2
group_7354,,hypothetical protein,2,2
group_7355,,hypothetical protein,2,2
group_7358,tsr,Methyl-accepting chemotaxis protein I,2,2
group_7359,,hypothetical protein,2,2
group_7362,,hypothetical protein,2,2
group_7364,,hypothetical protein,2,2
group_7369,,hypothetical protein,2,2
group_7375,,hypothetical protein,2,2
group_7377,,hypothetical protein,2,2
group_7379,lgoD_2,L-galactonate-5-dehydrogenase,2,2
group_7380,,hypothetical protein,2,2
group_7381,,hypothetical protein,2,2
clpP_3,,ATP-dependent Clp protease proteolytic subunit,2,2
group_7383,,hypothetical protein,2,2
group_7391,,hypothetical protein,2,2
cia_2,,Colicin-Ia,2,2
group_7394,hsdR,Type I restriction enzyme EcoR124II R protein,2,2
group_7396,,hypothetical protein,2,2
group_7397,bin3,hypothetical protein,2,2
group_7399,,hypothetical protein,2,2
group_7400,symE,Toxic protein SymE,2,2
group_7401,fimA_1,"Type-1 fimbrial protein, A chain",2,2
group_7402,nanS,putative 9-O-acetyl-N-acetylneuraminic acid deacetylase,2,2
group_7403,,hypothetical protein,2,2
gatB_1,,PTS system galactitol-specific EIIB component,2,2
deoR_3,,Deoxyribonucleoside regulator,2,2
group_745,,hypothetical protein,2,2
group_746,,hypothetical protein,2,2
group_749,,hypothetical protein,2,2
group_7590,,hypothetical protein,2,2
group_7679,,hypothetical protein,2,2
group_7696,,hypothetical protein,2,2
group_7697,,hypothetical protein,2,2
imm,,Colicin-E7 immunity protein,2,2
group_7876,,hypothetical protein,2,2
group_790,,hypothetical protein,2,2
group_791,,hypothetical protein,2,2
group_7940,,hypothetical protein,2,2
group_797,crfC_2,Clamp-binding protein CrfC,2,2
group_798,crfC_2,Clamp-binding protein CrfC,2,2
group_7991,repE_1,Replication initiation protein,2,2
group_805,yhdJ_2,DNA adenine methyltransferase YhdJ,2,2
group_8107,,hypothetical protein,2,2
group_815,flu_1,Antigen 43,2,2
group_8190,,hypothetical protein,2,2
ompX_1,,Outer membrane protein X,2,2
group_8269,,hypothetical protein,2,2
group_8274,rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase",2,2
group_8275,,hypothetical protein,2,2
group_8276,mshA_2,D-inositol-3-phosphate glycosyltransferase,2,2
group_8277,,hypothetical protein,2,2
group_8278,dapH_2,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",2,2
group_8279,,hypothetical protein,2,2
group_8280,wbbL,Rhamnosyltransferase WbbL,2,2
group_8281,,hypothetical protein,2,2
group_8398,,hypothetical protein,2,2
group_8399,,hypothetical protein,2,2
group_842,tnpR,Transposon Tn3 resolvase,2,2
group_8423,,hypothetical protein,2,2
group_843,tnpR,Transposon Tn3 resolvase,2,2
group_8511,,hypothetical protein,2,2
group_8532,,hypothetical protein,2,2
group_8533,,hypothetical protein,2,2
group_8534,,hypothetical protein,2,2
group_854,,hypothetical protein,2,2
group_8554,,hypothetical protein,2,2
group_8555,,hypothetical protein,2,2
group_8557,,hypothetical protein,2,2
group_8566,,hypothetical protein,2,2
group_8572,,hypothetical protein,2,2
group_8573,,hypothetical protein,2,2
group_8576,,hypothetical protein,2,2
group_8577,,hypothetical protein,2,2
group_8580,,hypothetical protein,2,2
group_8582,,hypothetical protein,2,2
group_8584,,hypothetical protein,2,2
group_8585,,hypothetical protein,2,2
group_8586,,hypothetical protein,2,2
group_8587,,TelA-like protein,2,2
group_8588,,hypothetical protein,2,2
group_8589,,hypothetical protein,2,2
group_8595,,hypothetical protein,2,2
group_8600,,hypothetical protein,2,2
group_8601,,hypothetical protein,2,2
group_8602,,hypothetical protein,2,2
group_8603,,hypothetical protein,2,2
group_8604,,hypothetical protein,2,2
group_8605,,hypothetical protein,2,2
group_8607,,hypothetical protein,2,2
group_8610,,hypothetical protein,2,2
group_8611,,hypothetical protein,2,2
group_8612,,hypothetical protein,2,2
group_8614,,hypothetical protein,2,2
group_8615,,hypothetical protein,2,2
group_8636,,hypothetical protein,2,2
group_8637,,hypothetical protein,2,2
group_8638,,hypothetical protein,2,2
group_8652,,hypothetical protein,2,2
group_8653,,hypothetical protein,2,2
group_8655,,hypothetical protein,2,2
group_8659,,hypothetical protein,2,2
group_8666,,hypothetical protein,2,2
group_8669,,hypothetical protein,2,2
pcoE,,putative copper-binding protein PcoE,2,2
group_8671,,hypothetical protein,2,2
group_8672,,hypothetical protein,2,2
group_8677,,hypothetical protein,2,2
group_8678,,hypothetical protein,2,2
group_8679,,hypothetical protein,2,2
group_8680,,hypothetical protein,2,2
group_8681,,hypothetical protein,2,2
group_8682,,hypothetical protein,2,2
group_8683,,hypothetical protein,2,2
group_8684,,hypothetical protein,2,2
arsC_2,,Arsenate reductase,2,2
arsB,,Arsenical pump membrane protein,2,2
group_8687,,hypothetical protein,2,2
arsH,,NADPH-dependent FMN reductase ArsH,2,2
group_8689,,ISNCY family transposase ISBcen27,2,2
group_8690,,hypothetical protein,2,2
group_8691,,hypothetical protein,2,2
group_8692,,hypothetical protein,2,2
group_8693,,hypothetical protein,2,2
group_8694,,ISNCY family transposase ISLad2,2,2
group_8695,,hypothetical protein,2,2
group_8696,,hypothetical protein,2,2
group_8697,,hypothetical protein,2,2
group_8703,,IS3 family transposase IS1353,2,2
group_8735,,hypothetical protein,2,2
group_8738,,hypothetical protein,2,2
group_8739,,hypothetical protein,2,2
group_8740,,hypothetical protein,2,2
group_8741,,hypothetical protein,2,2
group_8742,,hypothetical protein,2,2
yjcD,,Putative ATP-dependent DNA helicase YjcD,2,2
yghA_2,,putative oxidoreductase YghA,2,2
group_8745,,Pentapeptide repeat protein,2,2
group_8746,pspF_2,Psp operon transcriptional activator,2,2
group_8747,,Tn3 family transposase IS3000,2,2
group_8753,,hypothetical protein,2,2
group_8754,,hypothetical protein,2,2
group_8760,,ISL3 family transposase ISStma11,2,2
group_8761,,hypothetical protein,2,2
merB,,Alkylmercury lyase,2,2
group_8763,,hypothetical protein,2,2
group_8764,,hypothetical protein,2,2
group_8765,,hypothetical protein,2,2
group_8766,,hypothetical protein,2,2
group_8767,,hypothetical protein,2,2
group_8768,,hypothetical protein,2,2
group_8769,,hypothetical protein,2,2
group_8775,,hypothetical protein,2,2
group_8776,,hypothetical protein,2,2
group_8777,dhfrI_2,Dihydrofolate reductase type 1,2,2
group_8778,,hypothetical protein,2,2
group_8789,,hypothetical protein,2,2
group_8790,,Tn3 family transposase ISEc63,2,2
group_8791,,Tn3 family transposase ISEc63,2,2
mtnB,,Methylthioribulose-1-phosphate dehydratase,2,2
group_8794,repE_2,Replication initiation protein,2,2
ydiB_2,,Quinate/shikimate dehydrogenase,2,2
group_8800,tetA_2,"Tetracycline resistance protein, class C",2,2
tetR_2,,Tetracycline repressor protein class A from transposon 1721,2,2
group_8813,hns_3,"DNA-binding protein H-NS, plasmid",2,2
group_8814,,hypothetical protein,2,2
group_8815,,hypothetical protein,2,2
yokD,,SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD,2,2
tmrB,,Tunicamycin resistance protein,2,2
group_8818,,IS3 family transposase ISKpn11,2,2
group_8821,,Tn3 family transposase ISPa38,2,2
group_8829,,hypothetical protein,2,2
group_884,hin_1,DNA-invertase hin,2,2
group_8872,,hypothetical protein,2,2
group_89,cbeA_2,Cytoskeleton bundling-enhancing antitoxin CbeA,2,2
group_8912,,IS3 family transposase ISKpn37,2,2
group_894,hin_4,DNA-invertase hin,2,2
group_8954,,hypothetical protein,2,2
group_8955,,hypothetical protein,2,2
group_896,hin_3,DNA-invertase hin,2,2
group_897,hin_3,DNA-invertase hin,2,2
group_9012,,hypothetical protein,2,2
group_9073,,hypothetical protein,2,2
group_9074,,hypothetical protein,2,2
group_9075,,hypothetical protein,2,2
group_9077,cdiI,Immunity protein CdiI-YPIII,2,2
group_9079,,hypothetical protein,2,2
group_9080,,hypothetical protein,2,2
group_9081,,hypothetical protein,2,2
group_9082,,hypothetical protein,2,2
cna,,hypothetical protein,2,2
group_9097,,hypothetical protein,2,2
group_91,cbeA_1,Cytoskeleton bundling-enhancing antitoxin CbeA,2,2
group_9117,,hypothetical protein,2,2
group_9149,,hypothetical protein,2,2
group_9151,,hypothetical protein,2,2
group_918,,IS3 family transposase ISEc16,2,2
group_9183,,hypothetical protein,2,2
group_9207,,hypothetical protein,2,2
group_9214,,hypothetical protein,2,2
group_9260,,hypothetical protein,2,2
group_932,,hypothetical protein,2,2
group_9345,,hypothetical protein,2,2
group_9360,,hypothetical protein,2,2
group_9361,,hypothetical protein,2,2
group_9362,,hypothetical protein,2,2
group_9387,,hypothetical protein,2,2
group_9388,,hypothetical protein,2,2
group_9389,smc,Chromosome partition protein Smc,2,2
group_9390,,hypothetical protein,2,2
dnaE_2,,DNA polymerase III subunit alpha,2,2
group_9410,,hypothetical protein,2,2
group_9413,,hypothetical protein,2,2
group_9414,,hypothetical protein,2,2
